ID,IC50_nM
TEST_000,130.9824456810139
TEST_001,55.56909620578977
TEST_002,11.933009874487757
TEST_003,22.02926463053447
TEST_004,22.9720630715835
TEST_005,9.504953575346876
TEST_006,30.87450475587423
TEST_007,24.717241450161293
TEST_008,45.782552279169415
TEST_009,209.411245585087
TEST_010,234.93623249442257
TEST_011,18.608012966026052
TEST_012,25.316286391269507
TEST_013,97.58880500302925
TEST_014,39.01665199476258
TEST_015,47.8244517431355
TEST_016,44.663216876215635
TEST_017,61.74474480506809
TEST_018,13.081272720576287
TEST_019,44.2520437751033
TEST_020,11.908306386589576
TEST_021,39.8611661535241
TEST_022,82.28108312679335
TEST_023,9.171703361739235
TEST_024,12.174468210313837
TEST_025,24.552741983787893
TEST_026,12.39795341020512
TEST_027,47.35872481253366
TEST_028,14.402901811656315
TEST_029,21.8348393025342
TEST_030,10.338320698148811
TEST_031,16.828677972330656
TEST_032,26.30267991895376
TEST_033,51.392530228348484
TEST_034,61.95837230776521
TEST_035,13.441570059685022
TEST_036,26.92464587673136
TEST_037,110.86641389799595
TEST_038,24.859935642282167
TEST_039,29.39002801171124
TEST_040,12.75704243013337
TEST_041,32.36681757016547
TEST_042,18.89948630283893
TEST_043,11.908306386589576
TEST_044,43.05761795528508
TEST_045,5.821032177708698
TEST_046,61.00283239357579
TEST_047,67.89690845006083
TEST_048,92.98866226591171
TEST_049,15.774296509447531
TEST_050,55.34732893763705
TEST_051,19.622304010452197
TEST_052,37.77461093882195
TEST_053,12.707203938791375
TEST_054,23.133961048019295
TEST_055,15.305587341204973
TEST_056,66.18049329919195
TEST_057,35.98321800388787
TEST_058,39.30369068816195
TEST_059,52.11147109006556
TEST_060,67.41088053173026
TEST_061,19.683394644420478
TEST_062,15.62967688977114
TEST_063,46.54610376344156
TEST_064,46.58363061057529
TEST_065,17.12576577560378
TEST_066,38.38250660552829
TEST_067,45.62995074750913
TEST_068,16.360629131014157
TEST_069,54.83190483480508
TEST_070,12.570426122439844
TEST_071,63.93127022342314
TEST_072,10.328803136570272
TEST_073,40.82253781429853
TEST_074,16.601602074482994
TEST_075,65.94775259494814
TEST_076,22.289483245050537
TEST_077,15.993738832915286
TEST_078,12.689660409204837
TEST_079,51.58617574059601
TEST_080,20.888151080233833
TEST_081,18.86253245351073
TEST_082,53.74028929503509
TEST_083,10.328803136570272
TEST_084,45.61244296642265
TEST_085,44.28942071986359
TEST_086,13.458603540559414
TEST_087,53.11697490753593
TEST_088,54.97686866969665
TEST_089,49.56023229865709
TEST_090,42.63176696962056
TEST_091,46.54789007046171
TEST_092,15.534597313765751
TEST_093,43.30619229644593
TEST_094,14.290584754776875
TEST_095,88.19622566341192
TEST_096,46.58363061057529
TEST_097,38.09342306476831
TEST_098,59.63895155395009
TEST_099,51.17996682024601
TEST_100,9.82539457282242
TEST_101,32.696404683430195
TEST_102,66.35596967491439
TEST_103,50.594114584593655
TEST_104,44.12655266224524
TEST_105,66.39417823781878
TEST_106,54.62607542126992
TEST_107,46.44083289410462
TEST_108,42.97095443719228
TEST_109,67.41088053173026
TEST_110,11.908306386589576
TEST_111,32.169921414671165
TEST_112,26.242185433844337
