ID,IC50_nM
TEST_000,107.04506905535018
TEST_001,49.834870417926
TEST_002,18.33721315508884
TEST_003,22.31344705263967
TEST_004,26.379506502001487
TEST_005,13.13812329913189
TEST_006,27.605778562203334
TEST_007,27.648187540101002
TEST_008,41.690138060585895
TEST_009,167.635759593569
TEST_010,194.23761343897695
TEST_011,26.78986198243544
TEST_012,37.184904176094655
TEST_013,198.33529203679507
TEST_014,30.52108722241979
TEST_015,32.957176664133264
TEST_016,52.78372067815737
TEST_017,12.700113991746061
TEST_018,24.97085043012248
TEST_019,29.876748643255215
TEST_020,17.90331006974666
TEST_021,24.81418410016851
TEST_022,38.9530677891469
TEST_023,14.408983144772886
TEST_024,19.122000857527055
TEST_025,21.69535029443071
TEST_026,17.676651509282262
TEST_027,47.98807548595328
TEST_028,10.273064148386794
TEST_029,12.06701909593275
TEST_030,10.624292038711287
TEST_031,12.294192247093713
TEST_032,22.77936779010085
TEST_033,95.19190103322876
TEST_034,48.56611158291341
TEST_035,20.041643531533357
TEST_036,53.31098006888039
TEST_037,66.25596748056111
TEST_038,22.819178206806328
TEST_039,24.00859063754387
TEST_040,16.49048137415653
TEST_041,26.013572566531405
TEST_042,19.94037554685842
TEST_043,17.90331006974666
TEST_044,31.849307947186986
TEST_045,3.489206450350759
TEST_046,181.8444287842889
TEST_047,247.57113060442845
TEST_048,126.36690049810576
TEST_049,14.198201433665231
TEST_050,57.24114775802175
TEST_051,15.513150292934125
TEST_052,50.03800659252674
TEST_053,12.534297545829878
TEST_054,35.7931565565038
TEST_055,14.4854947591511
TEST_056,114.72286917549245
TEST_057,59.56621435290085
TEST_058,24.062089250401197
TEST_059,29.98702165861456
TEST_060,101.25115825636506
TEST_061,15.732581854464732
TEST_062,12.26874104638343
TEST_063,35.8041471486983
TEST_064,49.264415373468395
TEST_065,12.314024122062134
TEST_066,41.889000700277734
TEST_067,40.94020377678664
TEST_068,19.617409901544352
TEST_069,28.578098799717765
TEST_070,21.78378456602562
TEST_071,38.54961100089333
TEST_072,12.01157617937579
TEST_073,81.3579505605398
TEST_074,19.09120465911202
TEST_075,21.0572160162399
TEST_076,22.48364226537162
TEST_077,10.52204124885241
TEST_078,15.435948940644163
TEST_079,31.873762578031954
TEST_080,17.324737645688153
TEST_081,58.452084035885534
TEST_082,35.36985939142945
TEST_083,11.593111157416573
TEST_084,41.8070958381255
TEST_085,36.71977403587976
TEST_086,19.75907759203762
TEST_087,29.938727221449742
TEST_088,90.25057966698157
TEST_089,23.250555492616456
TEST_090,46.51342644801307
TEST_091,50.815944256056
TEST_092,16.228062313530963
TEST_093,35.27226375370743
TEST_094,20.330590834164155
TEST_095,125.5066294940148
TEST_096,49.264415373468395
TEST_097,40.23771713942794
TEST_098,90.35107690480557
TEST_099,23.2434184039253
TEST_100,17.021585083949468
TEST_101,20.140333916852303
TEST_102,34.777631385474656
TEST_103,22.583955011455586
TEST_104,34.74561474970421
TEST_105,101.50793665726891
TEST_106,32.82086327847145
TEST_107,14.344761545987904
TEST_108,24.34220973330045
TEST_109,103.18106352675949
TEST_110,17.90331006974666
TEST_111,21.24711654006144
TEST_112,31.569424626828162
